"s","o"
"http://en.wiktionary.org/wiki/achievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://fr.wiktionary.org/wiki/achievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/hyperachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/nonachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/overachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/underachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/achievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/passing_university_exams","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/hyperachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/nonachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/overachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/underachievement","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/achievements/n","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/ambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://fr.wiktionary.org/wiki/ambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/ambitioned","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/ambitionist","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/ambitionless","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/overambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/unambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://en.wiktionary.org/wiki/underambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/ambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/ambitioned","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/ambitionist","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/ambitionless","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/overambition","https://w3id.org/spice/SON/SchwartzValues#Achievement"
