"s","o"
"https://w3id.org/framester/wn/wn30/instances/synset-respect-verb-1","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Respect","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respect","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/respect","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q28510","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/obey","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/obey","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Authority","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/authority","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/authority","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q174834","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/obeyed","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/obeyed","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Deference","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/deference","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/deference","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q396568","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/reverence","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/reverence","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respecting","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/respecting","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/obeying","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/obeying","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Tradition","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/tradition","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/tradition","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q82821","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/adhere","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/adhere","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/obeys","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/obeys","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/revere","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/revere","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/govern","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/govern","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/comply","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/comply","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respectful","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/respectful","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/honor","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/honor","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/adhered","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/adhered","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/allegiance","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/allegiance","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/dictates","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/dictates","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Nobility","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/nobility","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/nobility","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/sc/Nobility","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q134737","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/forbid","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/forbid","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Dominion","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/Dominion","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/dominion","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/dominion","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/sc/Dominion","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q223832","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/governed","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/governed","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/obedient","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/obedient","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/Reveres","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/reveres","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/reveres","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/adhering","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/adhering","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/governs","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/governs","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/governing","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/governing","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/oppress","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/oppress","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respected","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/respected","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respect","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obey","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/authority","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obeyed","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/deference","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/reverence","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respecting","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obeying","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/tradition","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/adhere","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obeys","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/revere","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/govern","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/comply","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respectful","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/honor","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/adhered","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/allegiance","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/dictates","https://w3id.org/spice/SON/HaidtValues#Authority"
